DATE,MSPTFC
1988-01-01,105500
1988-04-01,105000
1988-07-01,113400
1988-10-01,110500
1989-01-01,112500
1989-04-01,103000
1989-07-01,114500
1989-10-01,114000
1990-01-01,120000
1990-04-01,120000
1990-07-01,116000
1990-10-01,111900
1991-01-01,119700
1991-04-01,116000
1991-07-01,119000
1991-10-01,129000
1992-01-01,120000
1992-04-01,100400
1992-07-01,120000
1992-10-01,118000
1993-01-01,119900
1993-04-01,119800
1993-07-01,120700
1993-10-01,129500
1994-01-01,115000
1994-04-01,129200
1994-07-01,117700
1994-10-01,136000
1995-01-01,120500
1995-04-01,130000
1995-07-01,124600
1995-10-01,130300
1996-01-01,147000
1996-04-01,130000
1996-07-01,135000
1996-10-01,146400
1997-01-01,138000
1997-04-01,142000
1997-07-01,145900
1997-10-01,143500
1998-01-01,146000
1998-04-01,140000
1998-07-01,165000
1998-10-01,144000
1999-01-01,148900
1999-04-01,153500
1999-07-01,168400
1999-10-01,168000
2000-01-01,159800
2000-04-01,150700
2000-07-01,157200
2000-10-01,183100
2001-01-01,172500
2001-04-01,184700
2001-07-01,157800
2001-10-01,172400
2002-01-01,181100
2002-04-01,190700
2002-07-01,198700
2002-10-01,194200
2003-01-01,216000
2003-04-01,175900
2003-07-01,185400
2003-10-01,176300
2004-01-01,174200
2004-04-01,187300
2004-07-01,212800
2004-10-01,184800
2005-01-01,218200
2005-04-01,212600
2005-07-01,194400
2005-10-01,243800
2006-01-01,258000
2006-04-01,222700
2006-07-01,254800
2006-10-01,252500
2007-01-01,238700
2007-04-01,221700
2007-07-01,299300
2007-10-01,201200
2008-01-01,229200
2008-04-01,256600
2008-07-01,273400
2008-10-01,227400
2009-01-01,275700
2009-04-01,260700
2009-07-01,262500
2009-10-01,247000
2010-01-01,222300
2010-04-01,249000
2010-07-01,220300
2010-10-01,250800
2011-01-01,216100
2011-04-01,236800
2011-07-01,249000
2011-10-01,205000
2012-01-01,261000
2012-04-01,249200
2012-07-01,264900
2012-10-01,256400
2013-01-01,236200
2013-04-01,293800
2013-07-01,265600
2013-10-01,286800
2014-01-01,322600
2014-04-01,310200
2014-07-01,285800
2014-10-01,296300
2015-01-01,294600
2015-04-01,310300
2015-07-01,339900
2015-10-01,335000
2016-01-01,332700
2016-04-01,323600
2016-07-01,293100
2016-10-01,352200
2017-01-01,376700
2017-04-01,348000
2017-07-01,320900
2017-10-01,344400
2018-01-01,328400
2018-04-01,302000
2018-07-01,383900
2018-10-01,334800
2019-01-01,318200
2019-04-01,325400
2019-07-01,369300
2019-10-01,324100
2020-01-01,310100
2020-04-01,365900
2020-07-01,302100.0
2020-10-01,324500.0
2021-01-01,419600.0
2021-04-01,374400.0
2021-07-01,368500.0
2021-10-01,361300.0
2022-01-01,369100.0
2022-04-01,451500.0
2022-07-01,430600.0
2022-10-01,383500.0
2023-01-01,378100
2023-04-01,388500
2023-07-01,509000
2023-10-01,421500.0
2024-01-01,425200.0
2024-04-01,421900.0
2024-07-01,401600.0
